         1247635 function calls (1225710 primitive calls) in 1.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_methods.py:1(<module>)
      385    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:265(_compile_charset)
      223    0.000    0.000    0.030    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1422(__init__)
        5    0.000    0.000    0.011    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/subprocess.py:756(__init__)
     6560    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2560(kind)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
       12    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/importlib/metadata.py:462(search)
      284    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:977(__and__)
      700    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     3711    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 {pandas._libs.hashtable.object_hash}
      220    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:232(_remove_dups_flatten)
      746    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:44(_is_private)
     1835    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:159(isfunction)
     6345    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      831    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:447(_simple)
      954    0.000    0.000    0.005    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1542(is_alias)
     1507    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     4253    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1664    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1215    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:128(_type_convert)
      284    0.000    0.000    0.010    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:622(_code)
      437    0.000    0.000    0.005    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:1536(number_of_parameters)
      356    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:535(_findclass)
     2826    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      757    0.000    0.000    0.004    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/re.py:203(sub)
      424    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/rcsetup.py:307(validate_color)
      715    0.000    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:3111(signature)
      626    0.000    0.000    0.007    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/helpers.py:643(<dictcomp>)
      515    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:677(__init__)
